x,Ec=0V,Ec=-2V,Ec=-4V,Ec=-6V,Ec=-8V,Ec=-10V,Ec=-12V,Ec=-14V,Ec=-16V,Ec=-18V,Ec=-20V,Ec=-22V,Ec=-24V,Ec=-26V,Ec=-28V,Ec=-30V
2.607,0.1869,,,,,,,,,,,,,,,
5.428,0.3907,,,,,,,,,,,,,,,
8.89,0.6497,,,,,,,,,,,,,,,
12.227,0.9471,,,,,,,,,,,,,,,
15.133,1.1595,,,,,,,,,,,,,,,
18.982,1.4738,,,,,,,,,,,,,,,
22.021,1.7798,,,,,,,,,,,,,,,
25.442,2.0644,,,,,,,,,,,,,,,
28.995,2.4384,,,,,,,,,,,,,,,
32.5,2.7102,,,,,,,,,,,,,,,
34.206,2.9118,0.1865,,,,,,,,,,,,,,
35.499,3.0714,0.2712,,,,,,,,,,,,,,
38.221,3.3167,0.4285,,,,,,,,,,,,,,
38.622,3.3518,0.446,,,,,,,,,,,,,,
41.277,3.6323,0.5418,,,,,,,,,,,,,,
41.591,3.6664,0.5557,,,,,,,,,,,,,,
44.317,3.9681,0.7061,,,,,,,,,,,,,,
46.589,4.2525,0.8528,,,,,,,,,,,,,,
46.76,4.2698,0.8643,,,,,,,,,,,,,,
50.267,4.5885,1.1061,,,,,,,,,,,,,,
52.401,4.881,1.252,,,,,,,,,,,,,,
52.755,4.9328,1.2756,,,,,,,,,,,,,,
55.882,5.3111,1.4811,,,,,,,,,,,,,,
57.699,5.5004,1.6087,,,,,,,,,,,,,,
59.008,5.651,1.7087,,,,,,,,,,,,,,
60.352,5.847,1.817,0.1657,,,,,,,,,,,,,
61.496,6.0166,1.9116,0.2005,,,,,,,,,,,,,
62.958,6.198,2.0335,0.2448,,,,,,,,,,,,,
64.453,6.3864,2.1573,0.2899,,,,,,,,,,,,,
66.963,6.7557,2.3762,0.3648,,,,,,,,,,,,,
67.37,6.8073,2.4141,0.3767,,,,,,,,,,,,,
67.92,6.8683,2.4668,0.393,,,,,,,,,,,,,
70.068,7.1048,2.6826,0.465,,,,,,,,,,,,,
71.272,7.3577,2.8062,0.5216,,,,,,,,,,,,,
71.832,7.4747,2.8634,0.5538,,,,,,,,,,,,,
73.671,7.6319,3.0472,0.6726,,,,,,,,,,,,,
74.04,7.6699,3.0829,0.6964,,,,,,,,,,,,,
75.117,7.8021,3.1835,0.7594,,,,,,,,,,,,,
76.543,8.006,3.3119,0.819,,,,,,,,,,,,,
78.775,8.3546,3.5134,0.9072,,,,,,,,,,,,,
78.786,8.3563,3.5145,0.9078,,,,,,,,,,,,,
79.644,8.4753,3.597,0.9523,,,,,,,,,,,,,
82.162,8.8137,3.8653,1.1042,,,,,,,,,,,,,
83.741,9.0385,4.0462,1.2092,,,,,,,,,,,,,
84.526,9.1583,4.1367,1.2633,,,,,,,,,,,,,
85.423,9.3068,4.2389,1.3253,,,,,,,,,,,,,
86.159,9.4437,4.3219,1.374,0.162,,,,,,,,,,,,
87.445,9.7235,4.4673,1.4505,0.1948,,,,,,,,,,,,
87.458,9.7266,4.4688,1.4512,0.1951,,,,,,,,,,,,
88.595,9.9617,4.6,1.5106,0.2242,,,,,,,,,,,,
89.379,10.0764,4.6926,1.5504,0.2446,,,,,,,,,,,,
91.985,10.3841,5.0056,1.6973,0.3144,,,,,,,,,,,,
92.807,10.4972,5.1041,1.7606,0.3376,,,,,,,,,,,,
93.179,10.5604,5.1482,1.7937,0.3483,,,,,,,,,,,,
94.304,10.8086,5.2801,1.9019,0.3821,,,,,,,,,,,,
94.915,10.931,5.3507,1.9562,0.4015,,,,,,,,,,,,
95.022,10.9492,5.3629,1.965,0.405,,,,,,,,,,,,
97.419,11.2887,5.6327,2.1351,0.4892,,,,,,,,,,,,
98.304,11.4156,5.7303,2.1963,0.5228,,,,,,,,,,,,
99.253,11.5688,5.8372,2.2665,0.5594,,,,,,,,,,,,
99.935,11.6879,5.9177,2.3217,0.5855,,,,,,,,,,,,
101.103,11.8943,6.0662,2.4234,0.6296,,,,,,,,,,,,
101.74,12.0023,6.1531,2.4805,0.6539,,,,,,,,,,,,
103.316,12.251,6.3752,2.6148,0.7179,,,,,,,,,,,,
105.355,12.5624,6.6503,2.7585,0.8146,,,,,,,,,,,,
105.477,12.5813,6.6656,2.7666,0.8209,,,,,,,,,,,,
105.903,12.6485,6.7176,2.7953,0.8438,,,,,,,,,,,,
107.034,12.8354,6.848,2.8781,0.9077,,,,,,,,,,,,
109.081,13.1927,7.076,3.0697,1.0293,,,,,,,,,,,,
110.103,13.3631,7.1968,3.1678,1.0898,,,,,,,,,,,,
110.328,13.3997,7.2249,3.1883,1.103,,,,,,,,,,,,
111.463,13.5842,7.3725,3.2853,1.1669,,,,,,,,,,,,
111.486,13.5881,7.3756,3.2872,1.1681,,,,,,,,,,,,
112.945,13.8393,7.5754,3.4081,1.2425,0.1411,,,,,,,,,,,
113.892,14.0091,7.706,3.4896,1.287,0.1808,,,,,,,,,,,
114.69,14.1536,7.8132,3.5624,1.3234,0.2139,,,,,,,,,,,
114.776,14.1691,7.8245,3.5706,1.3273,0.2175,,,,,,,,,,,
116.169,14.4045,7.9989,3.7103,1.3912,0.274,,,,,,,,,,,
116.799,14.4995,8.0752,3.777,1.4214,0.2988,,,,,,,,,,,
118.033,14.6835,8.234,3.9105,1.4844,0.3457,,,,,,,,,,,
118.83,14.8126,8.3577,3.9961,1.5274,0.3744,,,,,,,,,,,
119.271,14.8898,8.4319,4.0423,1.5519,0.3898,,,,,,,,,,,
120.35,15.0897,8.5996,4.1493,1.6138,0.4254,,,,,,,,,,,
120.753,15.1662,8.6532,4.1877,1.6376,0.4379,,,,,,,,,,,
121.967,15.3951,8.8006,4.304,1.7113,0.4732,,,,,,,,,,,
122.692,15.5264,8.8855,4.3757,1.7567,0.493,,,,,,,,,,,
123.38,15.6477,8.9673,4.446,1.8007,0.5111,,,,,,,,,,,
123.778,15.7172,9.0161,4.4877,1.8264,0.5215,,,,,,,,,,,
125.018,15.9351,9.177,4.6204,1.9075,0.5535,,,,,,,,,,,
127.338,16.3596,9.522,4.8751,2.0586,0.6169,,,,,,,,,,,
127.897,16.4581,9.618,4.937,2.0939,0.6338,,,,,,,,,,,
128.631,16.5838,9.749,5.0183,2.1388,0.6576,,,,,,,,,,,
128.642,16.5857,9.751,5.0195,2.1395,0.658,,,,,,,,,,,
129.374,16.7086,9.877,5.1004,2.1826,0.6841,,,,,,,,,,,
130.345,16.87,10.0279,5.2064,2.238,0.7221,,,,,,,,,,,
131.848,17.1214,10.2365,5.3664,2.3268,0.7878,,,,,,,,,,,
132.842,17.2912,10.3685,5.4702,2.3919,0.8347,,,,,,,,,,,
133.8,17.4571,10.4951,5.571,2.4615,0.8814,,,,,,,,,,,
135.129,17.6906,10.6759,5.7166,2.5687,0.9464,,,,,,,,,,,
135.147,17.6936,10.6783,5.7186,2.5701,0.9473,,,,,,,,,,,
135.542,17.7634,10.735,5.7638,2.6036,0.9662,,,,,,,,,,,
136.911,18.0077,10.9447,5.9291,2.7216,1.0304,,,,,,,,,,,
136.923,18.0099,10.9467,5.9307,2.7227,1.0309,0.1972,,,,,,,,,,
137.863,18.1928,11.0974,6.0546,2.8041,1.0741,0.2177,,,,,,,,,,
138.451,18.3171,11.1885,6.1353,2.8543,1.1009,0.2306,,,,,,,,,,
