Vp,Vg,Ia
2.607,0.0,0.1869
5.428,0.0,0.3907
8.89,0.0,0.6497
12.227,0.0,0.9471
15.133,0.0,1.1595
18.982,0.0,1.4738
22.021,0.0,1.7798
25.442,0.0,2.0644
28.995,0.0,2.4384
32.5,0.0,2.7102
34.206,0.0,2.9118
35.499,0.0,3.0714
38.221,0.0,3.3167
38.622,0.0,3.3518
41.277,0.0,3.6323
41.591,0.0,3.6664
44.317,0.0,3.9681
46.589,0.0,4.2525
46.76,0.0,4.2698
50.267,0.0,4.5885
52.401,0.0,4.881
52.755,0.0,4.9328
55.882,0.0,5.3111
57.699,0.0,5.5004
59.008,0.0,5.651
60.352,0.0,5.847
61.496,0.0,6.0166
62.958,0.0,6.198
64.453,0.0,6.3864
66.963,0.0,6.7557
67.37,0.0,6.8073
67.92,0.0,6.8683
70.068,0.0,7.1048
71.272,0.0,7.3577
71.832,0.0,7.4747
73.671,0.0,7.6319
74.04,0.0,7.6699
75.117,0.0,7.8021
76.543,0.0,8.006
78.775,0.0,8.3546
78.786,0.0,8.3563
79.644,0.0,8.4753
82.162,0.0,8.8137
83.741,0.0,9.0385
84.526,0.0,9.1583
85.423,0.0,9.3068
86.159,0.0,9.4437
87.445,0.0,9.7235
87.458,0.0,9.7266
88.595,0.0,9.9617
89.379,0.0,10.0764
91.985,0.0,10.3841
92.807,0.0,10.4972
93.179,0.0,10.5604
94.304,0.0,10.8086
94.915,0.0,10.931
95.022,0.0,10.9492
97.419,0.0,11.2887
98.304,0.0,11.4156
99.253,0.0,11.5688
99.935,0.0,11.6879
101.103,0.0,11.8943
101.74,0.0,12.0023
103.316,0.0,12.251
105.355,0.0,12.5624
105.477,0.0,12.5813
105.903,0.0,12.6485
107.034,0.0,12.8354
109.081,0.0,13.1927
110.103,0.0,13.3631
110.328,0.0,13.3997
111.463,0.0,13.5842
111.486,0.0,13.5881
112.945,0.0,13.8393
113.892,0.0,14.0091
114.69,0.0,14.1536
114.776,0.0,14.1691
116.169,0.0,14.4045
116.799,0.0,14.4995
118.033,0.0,14.6835
118.83,0.0,14.8126
119.271,0.0,14.8898
120.35,0.0,15.0897
120.753,0.0,15.1662
121.967,0.0,15.3951
122.692,0.0,15.5264
123.38,0.0,15.6477
123.778,0.0,15.7172
125.018,0.0,15.9351
127.338,0.0,16.3596
127.897,0.0,16.4581
128.631,0.0,16.5838
128.642,0.0,16.5857
129.374,0.0,16.7086
130.345,0.0,16.87
131.848,0.0,17.1214
132.842,0.0,17.2912
133.8,0.0,17.4571
135.129,0.0,17.6906
135.147,0.0,17.6936
135.542,0.0,17.7634
136.911,0.0,18.0077
136.923,0.0,18.0099
137.863,0.0,18.1928
138.451,0.0,18.3171
139.787,0.0,18.5991
140.273,0.0,18.6946
140.813,0.0,18.7944
140.892,0.0,18.8086
141.668,0.0,18.9448
143.152,0.0,19.2048
144.103,0.0,19.3852
144.452,0.0,19.4524
144.631,0.0,19.4863
145.194,0.0,19.5897
145.731,0.0,19.6811
145.886,0.0,19.706
148.384,0.0,20.0947
148.65,0.0,20.1444
149.08,0.0,20.2358
149.522,0.0,20.343
150.847,0.0,20.6591
151.863,0.0,20.8469
151.975,0.0,20.8661
152.831,0.0,21.0089
152.897,0.0,21.0198
153.43,0.0,21.1076
154.327,0.0,21.2585
156.586,0.0,21.6752
156.908,0.0,21.7377
157.093,0.0,21.7736
157.162,0.0,21.7871
157.766,0.0,21.9048
159.833,0.0,22.3131
160.385,0.0,22.4311
160.562,0.0,22.4704
160.577,0.0,22.4739
161.086,0.0,22.5914
161.562,0.0,22.7047
163.104,0.0,23.053
163.321,0.0,23.0954
164.506,0.0,23.2994
165.326,0.0,23.4316
165.681,0.0,23.491
167.117,0.0,23.7537
167.338,0.0,23.796
167.761,0.0,23.8772
168.332,0.0,23.9868
168.475,0.0,24.0139
170.189,0.0,24.3326
