Vp,Vg,Ia
2.705,0.0,0.12608
8.889,0.0,0.35091
14.68,0.0,0.49817
22.086,0.0,0.65429
30.168,0.0,0.80656
33.34,0.0,0.86307
40.953,0.0,0.99762
49.653,0.0,1.15096
49.819,0.0,1.15388
57.084,0.0,1.28198
60.747,0.0,1.34669
69.449,0.0,1.50064
70.29,0.0,1.5155
75.704,0.0,1.61106
82.447,0.0,1.73021
83.585,0.0,1.75038
89.088,0.0,1.84918
94.187,0.0,1.94611
95.701,0.0,1.97617
96.423,0.0,1.99065
107.043,0.0,2.20737
107.229,0.0,2.21116
110.392,0.0,2.2754
114.818,0.0,2.36586
121.069,0.0,2.49801
122.972,0.0,2.53995
127.542,0.0,2.64455
128.445,0.0,2.66571
134.281,0.0,2.80402
136.622,0.0,2.85848
138.07,0.0,2.89062
140.782,0.0,2.94812
143.892,0.0,3.01822
145.245,0.0,3.05063
148.138,0.0,3.12219
154.146,0.0,3.2748
159.332,0.0,3.40846
161.863,0.0,3.47398
163.764,0.0,3.52327
164.113,0.0,3.53232
169.244,0.0,3.66668
170.239,0.0,3.69328
170.683,0.0,3.70518
2.705,0.5,0.0055
8.889,0.5,0.05721
14.68,0.5,0.10744
22.086,0.5,0.17408
30.168,0.5,0.24892
33.34,0.5,0.2793
40.953,0.5,0.36064
49.653,0.5,0.46333
49.819,0.5,0.46531
57.084,0.5,0.55228
60.747,0.5,0.59608
69.449,0.5,0.70214
70.29,0.5,0.71273
75.704,0.5,0.78389
82.447,0.5,0.88531
83.585,0.5,0.90362
89.088,0.5,0.99103
94.187,0.5,1.06769
95.701,0.5,1.09017
96.423,0.5,1.10089
107.043,0.5,1.26505
107.229,0.5,1.26816
110.392,0.5,1.3228
114.818,0.5,1.40509
121.069,0.5,1.52602
122.972,0.5,1.5616
127.542,0.5,1.64473
128.445,0.5,1.66106
134.281,0.5,1.76906
136.622,0.5,1.81471
138.07,0.5,1.84366
140.782,0.5,1.89888
143.892,0.5,1.96319
145.245,0.5,1.99128
148.138,0.5,2.05124
154.146,0.5,2.17468
159.332,0.5,2.28219
161.863,0.5,2.33564
163.764,0.5,2.37643
164.113,0.5,2.38398
169.244,0.5,2.49732
170.239,0.5,2.51974
170.683,0.5,2.52977
180.245,0.5,2.74935
181.45,0.5,2.7772
183.339,0.5,2.82088
184.687,0.5,2.85204
186.799,0.5,2.90091
188.97,0.5,2.9513
195.396,0.5,3.10167
57.084,1.0,0.1424
60.747,1.0,0.16435
69.449,1.0,0.21949
70.29,1.0,0.22525
75.704,1.0,0.26546
82.447,1.0,0.32306
83.585,1.0,0.33316
89.088,1.0,0.3828
94.187,1.0,0.43075
95.701,1.0,0.44554
96.423,1.0,0.45272
107.043,1.0,0.56878
107.229,1.0,0.57097
110.392,1.0,0.60848
114.818,1.0,0.66192
121.069,1.0,0.73907
122.972,1.0,0.76303
127.542,1.0,0.82214
128.445,1.0,0.83425
134.281,1.0,0.91983
136.622,1.0,0.95719
138.07,1.0,0.98035
140.782,1.0,1.02336
143.892,1.0,1.07241
145.245,1.0,1.09372
148.138,1.0,1.13936
154.146,1.0,1.2348
159.332,1.0,1.31921
161.863,1.0,1.36174
163.764,1.0,1.39442
164.113,1.0,1.40048
169.244,1.0,1.49171
170.239,1.0,1.50979
170.683,1.0,1.51788
180.245,1.0,1.69568
181.45,1.0,1.71847
183.339,1.0,1.75438
184.687,1.0,1.78012
186.799,1.0,1.82065
188.97,1.0,1.86264
195.396,1.0,1.9893
202.531,1.0,2.13543
202.87,1.0,2.14254
204.992,1.0,2.18734
206.643,1.0,2.22257
212.826,1.0,2.35666
214.161,1.0,2.38594
219.365,1.0,2.50074
220.595,1.0,2.52793
95.701,1.5,0.10536
96.423,1.5,0.10961
107.043,1.5,0.17313
107.229,1.5,0.17428
110.392,1.5,0.1942
114.818,1.5,0.2238
121.069,1.5,0.27129
122.972,1.5,0.28706
127.542,1.5,0.326
128.445,1.5,0.33366
134.281,1.5,0.38263
136.622,1.5,0.40265
138.07,1.5,0.41532
140.782,1.5,0.43976
143.892,1.5,0.46928
145.245,1.5,0.48269
148.138,1.5,0.51247
154.146,1.5,0.57785
159.332,1.5,0.63675
161.863,1.5,0.66587
163.764,1.5,0.68819
164.113,1.5,0.69236
169.244,1.5,0.75709
170.239,1.5,0.77032
170.683,1.5,0.77627
180.245,1.5,0.90936
181.45,1.5,0.92663
183.339,1.5,0.95393
184.687,1.5,0.97356
186.799,1.5,1.00459
188.97,1.5,1.03688
195.396,1.5,1.13426
202.531,1.5,1.244
202.87,1.5,1.2492
204.992,1.5,1.28169
206.643,1.5,1.30702
212.826,1.5,1.40513
214.161,1.5,1.42739
219.365,1.5,1.51762
220.595,1.5,1.53951
225.138,1.5,1.62173
228.014,1.5,1.67466
230.699,1.5,1.72457
231.02,1.5,1.73056
237.66,1.5,1.85496
240.15,1.5,1.90123
240.571,1.5,1.90898
245.838,1.5,2.00474
246.826,1.5,2.02295
249.891,1.5,2.08116
