x,Ec=0V,Ec=-2V,Ec=-4V,Ec=-6V,Ec=-8V,Ec=-10V,Ec=-12V,Ec=-14V,Ec=-16V,Ec=-18V,Ec=-20V,Ec=-22V,Ec=-24V,Ec=-26V
0.371,0.076,,,,,,,,,,,,,
1,0.233,,,,,,,,,,,,,
2,0.49,,,,,,,,,,,,,
3,0.764,,,,,,,,,,,,,
4,1.05,,,,,,,,,,,,,
5,1.339,,,,,,,,,,,,,
6,1.628,,,,,,,,,,,,,
7,1.917,,,,,,,,,,,,,
8,2.207,,,,,,,,,,,,,
9,2.502,,,,,,,,,,,,,
10,2.808,,,,,,,,,,,,,
11,3.14,,,,,,,,,,,,,
12,3.539,,,,,,,,,,,,,
13,3.968,,,,,,,,,,,,,
14,4.361,,,,,,,,,,,,,
15,4.73,,,,,,,,,,,,,
16,5.083,,,,,,,,,,,,,
17,5.422,,,,,,,,,,,,,
18,5.747,,,,,,,,,,,,,
19,6.053,,,,,,,,,,,,,
20,6.346,,,,,,,,,,,,,
21,6.633,,,,,,,,,,,,,
22,6.927,0.225,,,,,,,,,,,,
23,7.238,0.283,,,,,,,,,,,,
24,7.568,0.341,,,,,,,,,,,,
25,7.914,0.403,,,,,,,,,,,,
26,8.278,0.47,,,,,,,,,,,,
27,8.664,0.545,,,,,,,,,,,,
28,9.079,0.635,,,,,,,,,,,,
29,9.529,0.741,,,,,,,,,,,,
30,10.009,0.847,,,,,,,,,,,,
31,10.496,0.935,,,,,,,,,,,,
32,10.962,1.016,,,,,,,,,,,,
33,11.38,1.108,,,,,,,,,,,,
34,11.749,1.224,,,,,,,,,,,,
35,12.098,1.375,,,,,,,,,,,,
36,12.463,1.552,,,,,,,,,,,,
37,12.859,1.741,,,,,,,,,,,,
38,13.25,1.924,,,,,,,,,,,,
39,13.607,2.116,,,,,,,,,,,,
40,13.938,2.333,,,,,,,,,,,,
41,14.269,2.57,,,,,,,,,,,,
42,14.622,2.811,0.146,,,,,,,,,,,
43,15.014,3.046,0.17,,,,,,,,,,,
44,15.448,3.265,0.195,,,,,,,,,,,
45,15.923,3.463,0.223,,,,,,,,,,,
46,16.438,3.656,0.256,,,,,,,,,,,
47,16.997,3.871,0.296,,,,,,,,,,,
48,17.552,4.143,0.344,,,,,,,,,,,
49,18.023,4.476,0.405,,,,,,,,,,,
50,18.402,4.82,0.482,,,,,,,,,,,
51,18.752,5.137,0.571,,,,,,,,,,,
52,19.127,5.413,0.671,,,,,,,,,,,
53,19.559,5.665,0.774,,,,,,,,,,,
54,20.004,5.907,0.873,,,,,,,,,,,
55,20.416,6.15,0.96,,,,,,,,,,,
56,20.787,6.405,1.035,,,,,,,,,,,
57,21.151,6.69,1.1,,,,,,,,,,,
58,21.54,7.021,1.158,,,,,,,,,,,
59,22.056,7.397,1.211,,,,,,,,,,,
60,22.867,7.801,1.263,,,,,,,,,,,
61,23.452,8.202,1.315,,,,,,,,,,,
62,23.901,8.59,1.37,,,,,,,,,,,
63,24.303,8.966,1.431,,,,,,,,,,,
64,24.684,9.329,1.502,,,,,,,,,,,
65,25.075,9.67,1.584,,,,,,,,,,,
66,25.539,9.995,1.683,,,,,,,,,,,
67,26.146,10.319,1.801,,,,,,,,,,,
68,26.818,10.645,1.934,,,,,,,,,,,
69,27.419,10.978,2.082,,,,,,,,,,,
70,27.904,11.323,2.241,,,,,,,,,,,
71,28.322,11.691,2.407,0.277,,,,,,,,,,
72,28.712,12.109,2.576,0.293,,,,,,,,,,
73,29.134,12.591,2.743,0.307,,,,,,,,,,
74,29.683,13.09,2.904,0.319,,,,,,,,,,
75,30.213,13.552,3.055,0.328,,,,,,,,,,
76,30.717,13.94,3.202,0.336,,,,,,,,,,
77,31.212,14.266,3.353,0.346,,,,,,,,,,
78,31.703,14.605,3.512,0.358,,,,,,,,,,
79,32.189,15.05,3.686,0.375,,,,,,,,,,
80,32.667,15.593,3.875,0.397,,,,,,,,,,
81,33.151,16.141,4.079,0.429,,,,,,,,,,
82,33.683,16.648,4.298,0.472,,,,,,,,,,
83,34.336,17.124,4.534,0.527,,,,,,,,,,
84,35.047,17.574,4.792,0.594,,,,,,,,,,
85,35.692,18.003,5.078,0.668,,,,,,,,,,
86,36.295,18.43,5.383,0.746,,,,,,,,,,
87,36.889,18.872,5.694,0.824,,,,,,,,,,
88,37.475,19.331,5.999,0.899,,,,,,,,,,
89,38.022,19.804,6.299,0.973,,,,,,,,,,
90,38.536,20.297,6.6,1.046,,,,,,,,,,
91,39.052,20.79,6.906,1.118,0.13,,,,,,,,,
92,39.6,21.24,7.221,1.191,0.138,,,,,,,,,
93,40.23,21.67,7.548,1.266,0.146,,,,,,,,,
94,40.948,22.108,7.887,1.345,0.155,,,,,,,,,
95,41.645,22.58,8.234,1.433,0.164,,,,,,,,,
96,42.243,23.097,8.582,1.538,0.174,,,,,,,,,
97,42.8,23.647,8.926,1.669,0.184,,,,,,,,,
98,43.361,24.193,9.267,1.83,0.195,,,,,,,,,
99,43.926,24.684,9.623,2.008,0.206,,,,,,,,,
100,44.482,25.103,10.013,2.186,0.217,,,,,,,,,
101,45.018,25.49,10.447,2.354,0.228,,,,,,,,,
102,45.564,25.908,10.899,2.51,0.239,,,,,,,,,
103,46.217,26.537,11.34,2.662,0.25,,,,,,,,,
104,47.306,27.22,11.745,2.814,0.263,,,,,,,,,
105,,27.841,12.098,2.973,0.278,,,,,,,,,
106,,28.414,12.4,3.142,0.299,,,,,,,,,
107,,28.925,12.674,3.326,0.33,,,,,,,,,
108,,29.41,12.946,3.53,0.384,,,,,,,,,
109,,29.887,13.241,3.752,0.467,,,,,,,,,
110,,30.336,13.6,3.988,0.557,,,,,,,,,
111,,30.736,14.045,4.233,0.627,,,,,,,,,
112,,31.218,14.547,4.482,0.682,,,,,,,,,
113,,31.781,15.056,4.725,0.731,,,,,,,,,
114,,32.374,15.532,4.957,0.779,,,,,,,,,
115,,32.977,15.98,5.184,0.829,,,,,,,,,
116,,33.582,16.413,5.418,0.882,,,,,,,,,
117,,34.175,16.837,5.665,0.939,,,,,,,,,
118,,34.73,17.261,5.923,0.999,,,,,,,,,
119,,35.222,17.692,6.187,1.064,,,,,,,,,
120,,35.71,18.131,6.452,1.133,,,,,,,,,
121,,36.248,18.576,6.715,1.206,,,,,,,,,
122,,36.899,19.025,6.971,1.288,0.073,,,,,,,,
123,,37.825,19.477,7.216,1.381,0.08,,,,,,,,
124,,38.674,19.935,7.457,1.489,0.088,,,,,,,,
125,,39.193,20.401,7.709,1.598,0.098,,,,,,,,
126,,39.605,20.879,7.984,1.695,0.108,,,,,,,,
127,,40.017,21.379,8.28,1.784,0.121,,,,,,,,
128,,40.504,21.924,8.587,1.87,0.137,,,,,,,,
129,,41.117,22.536,8.903,1.955,0.156,,,,,,,,
130,,41.891,23.163,9.225,2.043,0.183,,,,,,,,
131,,,23.724,9.552,2.137,0.22,,,,,,,,
132,,,24.242,9.885,2.242,0.277,,,,,,,,
133,,,24.74,10.219,2.357,0.355,,,,,,,,
134,,,25.231,10.547,2.482,0.445,,,,,,,,
135,,,25.719,10.865,2.611,0.52,,,,,,,,
136,,,26.205,11.175,2.749,0.577,,,,,,,,
137,,,26.691,11.484,2.9,0.623,,,,,,,,
138,,,27.175,11.792,3.072,0.662,,,,,,,,
139,,,27.657,12.103,3.274,0.696,,,,,,,,
140,,,28.143,12.421,3.497,0.728,,,,,,,,
141,,,28.643,12.752,3.72,0.756,,,,,,,,
142,,,29.173,13.097,3.921,0.784,,,,,,,,
143,,,29.761,13.444,4.091,0.811,,,,,,,,
144,,,30.395,13.786,4.242,0.839,,,,,,,,
145,,,30.99,14.135,4.385,0.871,,,,,,,,
146,,,31.468,14.505,4.526,0.908,,,,,,,,
147,,,31.866,14.908,4.677,0.954,,,,,,,,
148,,,32.256,15.356,4.844,1.012,,,,,,,,
149,,,32.721,15.819,5.022,1.082,,,,,,,,
150,,,33.32,16.247,5.206,1.161,,,,,,,,
151,,,33.925,16.602,5.387,1.247,,,,,,,,
152,,,34.43,16.897,5.569,1.339,0.28,,,,,,,
153,,,34.892,17.173,5.76,1.432,0.293,,,,,,,
154,,,35.36,17.459,5.969,1.528,0.307,,,,,,,
155,,,35.869,17.772,6.192,1.626,0.321,,,,,,,
156,,,36.437,18.121,6.428,1.724,0.336,,,,,,,
157,,,37.077,18.499,6.672,1.822,0.353,,,,,,,
158,,,37.815,18.907,6.924,1.92,0.372,,,,,,,
159,,,38.644,19.347,7.189,2.019,0.395,,,,,,,
160,,,,19.836,7.477,2.118,0.429,,,,,,,
161,,,,20.407,7.807,2.222,0.477,,,,,,,
162,,,,20.979,8.183,2.335,0.526,,,,,,,
163,,,,21.426,8.567,2.463,0.562,,,,,,,
164,,,,21.804,8.923,2.607,0.588,,,,,,,
165,,,,22.167,9.243,2.754,0.612,,,,,,,
166,,,,22.54,9.52,2.89,0.636,,,,,,,
167,,,,22.956,9.765,3.011,0.661,,,,,,,
168,,,,23.434,10.021,3.121,0.689,,,,,,,
169,,,,23.946,10.327,3.226,0.722,,,,,,,
170,,,,24.433,10.691,3.333,0.762,,,,,,,
171,,,,24.877,11.09,3.447,0.814,,,,,,,
172,,,,25.322,11.508,3.576,0.88,,,,,,,
173,,,,25.802,11.917,3.733,0.957,,,,,,,
174,,,,26.341,12.299,3.922,1.034,,,,,,,
175,,,,26.916,12.666,4.129,1.098,,,,,,,
176,,,,27.496,13.025,4.33,1.142,,,,,,,
177,,,,28.049,13.38,4.509,1.176,,,,,,,
178,,,,28.563,13.73,4.676,1.21,,,,,,,
179,,,,29.048,14.073,4.84,1.249,,,,,,,
180,,,,29.514,14.409,5.008,1.297,0.094,,,,,,
181,,,,29.971,14.741,5.188,1.355,0.087,,,,,,
182,,,,30.438,15.087,5.385,1.421,0.08,,,,,,
183,,,,30.938,15.486,5.593,1.493,0.075,,,,,,
184,,,,31.522,16.036,5.806,1.57,0.071,,,,,,
185,,,,32.518,16.614,6.016,1.649,0.068,,,,,,
186,,,,33.757,17.008,6.22,1.731,0.068,,,,,,
187,,,,34.311,17.322,6.421,1.814,0.071,,,,,,
188,,,,34.766,17.614,6.625,1.895,0.079,,,,,,
189,,,,35.223,17.911,6.837,1.974,0.095,,,,,,
190,,,,,18.249,7.064,2.046,0.122,,,,,,
191,,,,,18.652,7.31,2.11,0.164,,,,,,
192,,,,,19.104,7.571,2.17,0.229,,,,,,
193,,,,,19.557,7.844,2.228,0.321,,,,,,
194,,,,,20.001,8.122,2.289,0.428,,,,,,
195,,,,,20.439,8.403,2.353,0.532,,,,,,
196,,,,,20.877,8.684,2.423,0.617,,,,,,
197,,,,,21.338,8.966,2.502,0.675,,,,,,
198,,,,,21.838,9.248,2.593,0.712,,,,,,
199,,,,,22.358,9.531,2.697,0.735,,,,,,
200,,,,,22.876,9.815,2.815,0.751,,,,,,
201,,,,,23.372,10.101,2.946,0.761,,,,,,
202,,,,,23.818,10.392,3.09,0.769,,,,,,
203,,,,,24.205,10.686,3.243,0.779,,,,,,
204,,,,,24.556,10.984,3.403,0.797,,,,,,
205,,,,,24.912,11.287,3.569,0.831,,,,,,
206,,,,,25.32,11.596,3.738,0.883,,,,,,
207,,,,,25.867,11.914,3.907,0.948,0.015,,,,,
208,,,,,26.586,12.244,4.074,1.017,0.02,,,,,
209,,,,,27.245,12.595,4.239,1.085,0.026,,,,,
210,,,,,27.754,12.973,4.403,1.153,0.032,,,,,
211,,,,,28.208,13.369,4.568,1.22,0.039,,,,,
