Vp,Vg,Ia
41.0,0.0,12.967
42.0,0.0,13.318
43.0,0.0,13.672
44.0,0.0,14.029
45.0,0.0,14.389
46.0,0.0,14.754
47.0,0.0,15.121
48.0,0.0,15.491
49.0,0.0,15.865
50.0,0.0,16.241
51.0,0.0,16.619
52.0,0.0,17.0
53.0,0.0,17.383
54.0,0.0,17.768
55.0,0.0,18.155
56.0,0.0,18.544
57.0,0.0,18.937
58.0,0.0,19.331
59.0,0.0,19.729
60.0,0.0,20.129
61.0,0.0,20.533
62.0,0.0,20.94
63.0,0.0,21.35
64.0,0.0,21.761
65.0,0.0,22.175
66.0,0.0,22.589
67.0,0.0,23.005
68.0,0.0,23.42
69.0,0.0,23.835
70.0,0.0,24.248
71.0,0.0,24.658
72.0,0.0,25.066
73.0,0.0,25.473
74.0,0.0,25.883
75.0,0.0,26.299
76.0,0.0,26.722
77.0,0.0,27.153
78.0,0.0,27.592
79.0,0.0,28.038
80.0,0.0,28.492
81.0,0.0,28.952
82.0,0.0,29.418
83.0,0.0,29.888
84.0,0.0,30.364
85.0,0.0,30.843
86.0,0.0,31.325
87.0,0.0,31.81
88.0,0.0,32.297
89.0,0.0,32.786
90.0,0.0,33.277
91.0,0.0,33.769
92.0,0.0,34.263
93.0,0.0,34.758
94.0,0.0,35.255
95.0,0.0,35.753
96.0,0.0,36.252
97.0,0.0,36.752
98.0,0.0,37.253
99.0,0.0,37.755
100.0,0.0,38.259
101.0,0.0,38.764
102.0,0.0,39.27
103.0,0.0,39.778
104.0,0.0,40.288
105.0,0.0,40.801
106.0,0.0,41.318
107.0,0.0,41.841
108.0,0.0,42.373
109.0,0.0,42.918
110.0,0.0,43.476
111.0,0.0,44.036
112.0,0.0,44.591
113.0,0.0,45.142
114.0,0.0,45.692
115.0,0.0,46.242
116.0,0.0,46.792
117.0,0.0,47.344
118.0,0.0,47.898
119.0,0.0,48.454
120.0,0.0,49.015
121.0,0.0,49.58
122.0,0.0,50.152
123.0,0.0,50.732
124.0,0.0,51.322
125.0,0.0,51.922
126.0,0.0,52.532
127.0,0.0,53.15
128.0,0.0,53.774
129.0,0.0,54.401
130.0,0.0,55.027
131.0,0.0,55.649
132.0,0.0,56.267
133.0,0.0,56.879
134.0,0.0,57.486
135.0,0.0,58.086
136.0,0.0,58.679
137.0,0.0,59.266
138.0,0.0,59.845
139.0,0.0,60.417
140.0,0.0,60.983
141.0,0.0,61.546
142.0,0.0,62.106
143.0,0.0,62.665
144.0,0.0,63.226
145.0,0.0,63.791
146.0,0.0,64.363
147.0,0.0,64.948
148.0,0.0,65.552
149.0,0.0,66.169
150.0,0.0,66.777
151.0,0.0,67.365
152.0,0.0,67.933
153.0,0.0,68.485
154.0,0.0,69.024
155.0,0.0,69.554
156.0,0.0,70.076
157.0,0.0,70.592
158.0,0.0,71.103
159.0,0.0,71.612
160.0,0.0,72.118
161.0,0.0,72.621
162.0,0.0,73.123
163.0,0.0,73.624
164.0,0.0,74.123
165.0,0.0,74.621
166.0,0.0,75.118
167.0,0.0,75.614
168.0,0.0,76.109
169.0,0.0,76.604
170.0,0.0,77.098
171.0,0.0,77.592
172.0,0.0,78.085
173.0,0.0,78.578
174.0,0.0,79.07
175.0,0.0,79.562
176.0,0.0,80.055
177.0,0.0,80.548
178.0,0.0,81.042
179.0,0.0,81.537
180.0,0.0,82.037
180.095,0.0,82.105
39.962,1.0,2.582
40.0,1.0,2.59
41.0,1.0,2.808
42.0,1.0,3.027
43.0,1.0,3.247
44.0,1.0,3.47
45.0,1.0,3.697
46.0,1.0,3.928
47.0,1.0,4.166
48.0,1.0,4.41
49.0,1.0,4.661
50.0,1.0,4.92
51.0,1.0,5.187
52.0,1.0,5.462
53.0,1.0,5.745
54.0,1.0,6.037
55.0,1.0,6.336
56.0,1.0,6.641
57.0,1.0,6.954
58.0,1.0,7.273
59.0,1.0,7.597
60.0,1.0,7.927
61.0,1.0,8.262
62.0,1.0,8.602
63.0,1.0,8.946
64.0,1.0,9.294
65.0,1.0,9.645
66.0,1.0,9.999
67.0,1.0,10.354
68.0,1.0,10.711
69.0,1.0,11.066
70.0,1.0,11.42
71.0,1.0,11.77
72.0,1.0,12.121
73.0,1.0,12.476
74.0,1.0,12.84
75.0,1.0,13.216
76.0,1.0,13.606
77.0,1.0,14.008
78.0,1.0,14.422
79.0,1.0,14.848
80.0,1.0,15.287
81.0,1.0,15.743
82.0,1.0,16.22
83.0,1.0,16.724
84.0,1.0,17.256
85.0,1.0,17.811
86.0,1.0,18.382
87.0,1.0,18.959
88.0,1.0,19.536
89.0,1.0,20.11
90.0,1.0,20.681
91.0,1.0,21.248
92.0,1.0,21.811
93.0,1.0,22.37
94.0,1.0,22.924
95.0,1.0,23.473
96.0,1.0,24.017
97.0,1.0,24.553
98.0,1.0,25.083
99.0,1.0,25.604
100.0,1.0,26.116
101.0,1.0,26.617
102.0,1.0,27.111
103.0,1.0,27.598
104.0,1.0,28.08
105.0,1.0,28.558
106.0,1.0,29.035
107.0,1.0,29.513
108.0,1.0,29.995
109.0,1.0,30.481
110.0,1.0,30.972
111.0,1.0,31.468
112.0,1.0,31.968
113.0,1.0,32.471
114.0,1.0,32.977
115.0,1.0,33.485
116.0,1.0,33.996
117.0,1.0,34.51
118.0,1.0,35.028
119.0,1.0,35.55
120.0,1.0,36.076
121.0,1.0,36.608
122.0,1.0,37.146
123.0,1.0,37.691
124.0,1.0,38.243
125.0,1.0,38.801
126.0,1.0,39.365
127.0,1.0,39.934
128.0,1.0,40.508
129.0,1.0,41.086
130.0,1.0,41.667
131.0,1.0,42.251
132.0,1.0,42.836
133.0,1.0,43.421
134.0,1.0,44.004
135.0,1.0,44.583
136.0,1.0,45.158
137.0,1.0,45.727
138.0,1.0,46.289
139.0,1.0,46.843
140.0,1.0,47.389
141.0,1.0,47.926
142.0,1.0,48.457
143.0,1.0,48.982
144.0,1.0,49.504
145.0,1.0,50.023
146.0,1.0,50.542
147.0,1.0,51.061
148.0,1.0,51.583
149.0,1.0,52.111
150.0,1.0,52.647
151.0,1.0,53.192
152.0,1.0,53.746
153.0,1.0,54.305
154.0,1.0,54.866
155.0,1.0,55.424
156.0,1.0,55.976
157.0,1.0,56.518
158.0,1.0,57.049
159.0,1.0,57.568
160.0,1.0,58.077
161.0,1.0,58.574
162.0,1.0,59.062
163.0,1.0,59.541
164.0,1.0,60.012
165.0,1.0,60.476
166.0,1.0,60.936
167.0,1.0,61.391
168.0,1.0,61.843
169.0,1.0,62.291
170.0,1.0,62.736
171.0,1.0,63.178
172.0,1.0,63.617
173.0,1.0,64.053
174.0,1.0,64.486
175.0,1.0,64.916
176.0,1.0,65.341
177.0,1.0,65.764
178.0,1.0,66.183
179.0,1.0,66.6
41.0,2.0,0.144
42.0,2.0,0.141
43.0,2.0,0.14
44.0,2.0,0.141
45.0,2.0,0.146
46.0,2.0,0.156
47.0,2.0,0.169
48.0,2.0,0.188
49.0,2.0,0.212
50.0,2.0,0.24
51.0,2.0,0.273
52.0,2.0,0.311
53.0,2.0,0.354
54.0,2.0,0.403
55.0,2.0,0.457
56.0,2.0,0.516
57.0,2.0,0.58
58.0,2.0,0.647
59.0,2.0,0.716
60.0,2.0,0.787
61.0,2.0,0.859
62.0,2.0,0.933
63.0,2.0,1.009
64.0,2.0,1.09
65.0,2.0,1.177
66.0,2.0,1.271
67.0,2.0,1.373
68.0,2.0,1.485
69.0,2.0,1.606
70.0,2.0,1.738
71.0,2.0,1.881
72.0,2.0,2.036
73.0,2.0,2.204
74.0,2.0,2.387
75.0,2.0,2.588
76.0,2.0,2.812
77.0,2.0,3.063
78.0,2.0,3.34
79.0,2.0,3.643
80.0,2.0,3.97
81.0,2.0,4.312
82.0,2.0,4.662
83.0,2.0,5.017
84.0,2.0,5.382
85.0,2.0,5.759
86.0,2.0,6.151
87.0,2.0,6.558
88.0,2.0,6.977
89.0,2.0,7.404
90.0,2.0,7.836
91.0,2.0,8.272
92.0,2.0,8.709
93.0,2.0,9.146
94.0,2.0,9.58
95.0,2.0,10.011
96.0,2.0,10.436
97.0,2.0,10.854
98.0,2.0,11.262
99.0,2.0,11.661
100.0,2.0,12.056
101.0,2.0,12.448
102.0,2.0,12.843
103.0,2.0,13.242
104.0,2.0,13.646
105.0,2.0,14.056
106.0,2.0,14.47
107.0,2.0,14.888
108.0,2.0,15.309
109.0,2.0,15.733
110.0,2.0,16.16
111.0,2.0,16.59
112.0,2.0,17.023
113.0,2.0,17.46
114.0,2.0,17.901
115.0,2.0,18.347
116.0,2.0,18.799
117.0,2.0,19.256
118.0,2.0,19.719
119.0,2.0,20.187
120.0,2.0,20.659
121.0,2.0,21.136
122.0,2.0,21.616
123.0,2.0,22.101
124.0,2.0,22.588
125.0,2.0,23.08
126.0,2.0,23.574
127.0,2.0,24.07
128.0,2.0,24.567
129.0,2.0,25.064
130.0,2.0,25.559
131.0,2.0,26.051
132.0,2.0,26.541
133.0,2.0,27.029
134.0,2.0,27.519
135.0,2.0,28.011
136.0,2.0,28.508
137.0,2.0,29.011
138.0,2.0,29.518
139.0,2.0,30.029
140.0,2.0,30.542
141.0,2.0,31.055
142.0,2.0,31.568
143.0,2.0,32.08
144.0,2.0,32.589
145.0,2.0,33.098
146.0,2.0,33.609
147.0,2.0,34.123
148.0,2.0,34.643
149.0,2.0,35.172
150.0,2.0,35.71
151.0,2.0,36.26
152.0,2.0,36.819
153.0,2.0,37.381
154.0,2.0,37.943
155.0,2.0,38.499
156.0,2.0,39.047
157.0,2.0,39.582
158.0,2.0,40.105
159.0,2.0,40.618
160.0,2.0,41.12
161.0,2.0,41.612
162.0,2.0,42.093
163.0,2.0,42.563
164.0,2.0,43.02
165.0,2.0,43.466
166.0,2.0,43.903
167.0,2.0,44.334
168.0,2.0,44.763
169.0,2.0,45.198
170.0,2.0,45.647
171.0,2.0,46.106
172.0,2.0,46.57
173.0,2.0,47.029
174.0,2.0,47.48
175.0,2.0,47.923
176.0,2.0,48.362
177.0,2.0,48.795
178.0,2.0,49.221
179.0,2.0,49.634
180.0,2.0,49.996
61.0,3.0,0.037
62.0,3.0,0.031
63.0,3.0,0.029
64.0,3.0,0.033
65.0,3.0,0.046
66.0,3.0,0.071
67.0,3.0,0.106
68.0,3.0,0.149
69.0,3.0,0.191
70.0,3.0,0.227
71.0,3.0,0.252
72.0,3.0,0.262
73.0,3.0,0.262
74.0,3.0,0.258
75.0,3.0,0.257
76.0,3.0,0.262
77.0,3.0,0.276
78.0,3.0,0.3
79.0,3.0,0.334
80.0,3.0,0.376
81.0,3.0,0.426
