"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"PROD_ID";
"4";"";"BZX79-C16,113";"DIOAD1165W56L425D185";"Z1, Z2, Z5, Z6";"Nexperia Zener Diode, 16V +/-2 %, +/-5 % 500 mW Through Hole 2-Pin SOD27 (DO-35)";"";"";"Nexperia Zener Diode, 16V +/-2 %, +/-5 % 500 mW Through Hole 2-Pin SOD27 (DO-35)";"mm";"";"Nexperia";"BZX79-C16,113";"";"";"";
"2";"";"CONN_06SILK_FEMALE_PTH";"1X06";"J2, J13";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"CONN-08437";
"6";"0.1u";"EMF212B7104KGHT";"CAPC2012X135N";"C21A, C21B, C21B2, C21B4, C21B6, C21D";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 16VDC 0.1uF 10% X7R AEC-Q200";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 16VDC 0.1uF 10% X7R AEC-Q200";"1.35mm";"";"TAIYO YUDEN";"EMF212B7104KGHT";"963-EMF212B7104KGHT";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/EMF212B7104KGHT?qs=%252B6g0mu59x7JRGtoE3odDgw%3D%3D";"";
"2";"0.1u, Ceramic Capacitor X7R";"EMF212B7104KGHT";"CAPC2012X135N";"C28A, C28A1";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 16VDC 0.1uF 10% X7R AEC-Q200";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 16VDC 0.1uF 10% X7R AEC-Q200";"1.35mm";"";"TAIYO YUDEN";"EMF212B7104KGHT";"963-EMF212B7104KGHT";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/EMF212B7104KGHT?qs=%252B6g0mu59x7JRGtoE3odDgw%3D%3D";"";
"2";"0.1uF, 35V";"MKS4B031002A00JC00";"MKS4B031002A00JC00";"C2O, C2O1";"Film Capacitors MKS 4 0.1 uF 50 VDC 2.5x7x10 PCM 7.5";"";"";"Film Capacitors MKS 4 0.1 uF 50 VDC 2.5x7x10 PCM 7.5";"7mm";"";"WIMA";"MKS4B031002A00JC00";"505-MKS4B0312AJC";"https://www.mouser.co.uk/ProductDetail/WIMA/MKS4B031002A00JC00?qs=2G4irm%2FqADy9MV8AUfKNYA%3D%3D";"";
"2";"100k";"PR02000201003JA1000411/15";"0411/15";"R5P, R5P1";"Vishay PR02 Series Axial Metal Film Fixed Resistor 100k +/-5% 2W +/-250ppm/C";"";"";"Vishay PR02 Series Axial Metal Film Fixed Resistor 100k +/-5% 2W +/-250ppm/C";"mm";"";"Vishay";"PR02000201003JA100";"594-5083NW100K0JA100";"https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/PR02000201003JA100?qs=T%2FnZg7%2FCwxPef%2F94FLP9PA%3D%3D";"";
"8";"100uF";"UFW1H101MPD1TD";"CAPPRD350W60D825H1300";"C11O, C12O, C13O, C14O, C15O, C24O, C25O, C26O";"Aluminum Electrolytic Capacitors - Radial Leaded 100uF 50 Volts 20%";"UFW1H101MPD1TD";"https://www.arrow.com/en/products/ufw1h101mpd1td/nichicon";"Aluminum Electrolytic Capacitors - Radial Leaded 100uF 50 Volts 20%";"13mm";"";"Nichicon";"UFW1H101MPD1TD";"647-UFW1H101MPD1TD";"https://www.mouser.co.uk/ProductDetail/Nichicon/UFW1H101MPD1TD?qs=WJSLByB5Mu30jPPJ2KiG3A%3D%3D";"";
"10";"10k";"LR1F10K";"0207/10";"R11O, R19O, R20O, R20O1, R20O2, R21O, R22O, R28O, R29O, R30O";"Metal film resistor, 10K 0.6W TE Connectivity LR1F Series Axial Metal Film Resistor 10k";"";"";"Metal film resistor, 10K 0.6W TE Connectivity LR1F Series Axial Metal Film Resistor 10k";"mm";"";"TE Connectivity";"LR1F10K";"279-LR1F10K";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Holsworthy/LR1F10K?qs=ip69W3eHERWDLLWs2Qv0Lg%3D%3D";"";
"6";"10u";"EMK212BB7106KG-T";"CAPC2012X135N";"C20A, C20B, C20B2, C20B4, C20B6, C20D";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF 16V X7R 10% 0805";"";"";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF 16V X7R 10% 0805";"1.35mm";"";"TAIYO YUDEN";"EMK212BB7106KG-T";"963-EMK212BB7106KG-T";"https://www.mouser.co.uk/ProductDetail/TAIYO-YUDEN/EMK212BB7106KG-T?qs=vF%252B8ahGVilemLVRka0hELA%3D%3D";"";
"4";"15k";"CPF215K000FKE14";"0411/15";"R5, R11, R19, R20";"VISHAY - CPF215K000FKE14 - Through Hole Resistor, 15 kohm, CPF Series, 2 W, +/- 1%, Axial Leaded, 500 V";"";"";"VISHAY - CPF215K000FKE14 - Through Hole Resistor, 15 kohm, CPF Series, 2 W, +/- 1%, Axial Leaded, 500 V";"mm";"";"Vishay";"CPF215K000FKE14";"71-CPF2-F-15K-E3";"https://www.mouser.com/ProductDetail/71-CPF2-F-15K-E3";"";
