"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"PROD_ID";
"4";"";"BZX79-C16,113";"DIOAD1165W56L425D185";"Z1, Z2, Z5, Z6";"Nexperia Zener Diode, 16V +/-2 %, +/-5 % 500 mW Through Hole 2-Pin SOD27 (DO-35)";"";"";"Nexperia Zener Diode, 16V +/-2 %, +/-5 % 500 mW Through Hole 2-Pin SOD27 (DO-35)";"mm";"";"Nexperia";"BZX79-C16,113";"";"";"";
"2";"";"CONN_06SILK_FEMALE_PTH";"1X06";"J2, J13";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"CONN-08437";
"2";"0.1uF, 35V";"MKS4B031002A00JC00";"MKS4B031002A00JC00";"C2O, C2O1";"Film Capacitors MKS 4 0.1 uF 50 VDC 2.5x7x10 PCM 7.5";"";"";"Film Capacitors MKS 4 0.1 uF 50 VDC 2.5x7x10 PCM 7.5";"7mm";"";"WIMA";"MKS4B031002A00JC00";"505-MKS4B0312AJC";"https://www.mouser.co.uk/ProductDetail/WIMA/MKS4B031002A00JC00?qs=2G4irm%2FqADy9MV8AUfKNYA%3D%3D";"";
"8";"100uF";"UFW1H101MPD1TD";"CAPPRD350W60D825H1300";"C11O, C12O, C13O, C14O, C15O, C24O, C25O, C26O";"Aluminum Electrolytic Capacitors - Radial Leaded 100uF 50 Volts 20%";"UFW1H101MPD1TD";"https://www.arrow.com/en/products/ufw1h101mpd1td/nichicon";"Aluminum Electrolytic Capacitors - Radial Leaded 100uF 50 Volts 20%";"13mm";"";"Nichicon";"UFW1H101MPD1TD";"647-UFW1H101MPD1TD";"https://www.mouser.co.uk/ProductDetail/Nichicon/UFW1H101MPD1TD?qs=WJSLByB5Mu30jPPJ2KiG3A%3D%3D";"";
"10";"10k";"LR1F10K";"0207/10";"R11O, R19O, R20O, R20O1, R20O2, R21O, R22O, R28O, R29O, R30O";"Metal film resistor, 10K 0.6W TE Connectivity LR1F Series Axial Metal Film Resistor 10k";"";"";"Metal film resistor, 10K 0.6W TE Connectivity LR1F Series Axial Metal Film Resistor 10k";"mm";"";"TE Connectivity";"LR1F10K";"279-LR1F10K";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Holsworthy/LR1F10K?qs=ip69W3eHERWDLLWs2Qv0Lg%3D%3D";"";
"4";"15k";"CPF215K000FKE14";"0411/15";"R5, R11, R19, R20";"VISHAY - CPF215K000FKE14 - Through Hole Resistor, 15 kohm, CPF Series, 2 W, +/- 1%, Axial Leaded, 500 V";"";"";"VISHAY - CPF215K000FKE14 - Through Hole Resistor, 15 kohm, CPF Series, 2 W, +/- 1%, Axial Leaded, 500 V";"mm";"";"Vishay";"CPF215K000FKE14";"71-CPF2-F-15K-E3";"https://www.mouser.com/ProductDetail/71-CPF2-F-15K-E3";"";
"8";"182";"MF0207FTE52-182R";"0207/10";"R12O, R14O, R16O, R18O, R23O, R24O, R25O, R26O";"Metal Film Resistors - Through Hole 0.6W 1% 182 ohm 50pp m";"";"";"Metal Film Resistors - Through Hole 0.6W 1% 182 ohm 50pp m";"mm";"Yageo";"";"MF0207FTE52-182R";"603-MF0207FTE52-182R";"https://www.mouser.com/ProductDetail/YAGEO/MF0207FTE52-182R?qs=KUIzHt%2Fe91leK267FaM40g%3D%3D";"";
"1";"1935190";"1935190";"1935190";"J1";"PCB terminal block, nominal current: 17.5 A, rated voltage (III/2): 400 V, nominal cross section: 1.5 mm?, Number of potentials: 5, Number of rows: 1, Number of positions per row: 5, product range: PT 1,5/..-H, pitch: 5 mm, connection method: Screw connection with wire protector, mounting: Wave soldering, conductor/PCB connection direction: 0 ?, color: green, Pin layout: Linear pinning, Solder pin [P]: 3.5 mm, type of packaging: packed in cardboard";"";"";"PCB terminal block, nominal current: 17.5 A, rated voltage (III/2): 400 V, nominal cross section: 1.5 mm?, Number of potentials: 5, Number of rows: 1, Number of positions per row: 5, product range: PT 1,5/..-H, pitch: 5 mm, connection method: Screw connection with wire protector, mounting: Wave soldering, conductor/PCB connection direction: 0 ?, color: green, Pin layout: Linear pinning, Solder pin [P]: 3.5 mm, type of packaging: packed in cardboard";"11.55mm";"";"Phoenix Contact";"1935190";"651-1935190";"https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1935190?qs=QWULklcAmSS%2FS46GSzyZOw%3D%3D";"";
"2";"1M*";"LR1F1M0";"0207/10";"R3O, R3O1";"TE Connectivity Axial Metal Film Resistor 1m +/-1% 0.6W +/-50ppm/C";"";"";"TE Connectivity Axial Metal Film Resistor 1m +/-1% 0.6W +/-50ppm/C";"mm";"";"TE Connectivity";"LR1F1M0";"279-LR1F1M0";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Holsworthy/LR1F1M0?qs=ip69W3eHERVt%2FmQVAugcSg%3D%3D";"";
"6";"1N4148-T50R";"1N4148-T50R";"DIOAD1068W53L380D172";"D1, D2, D3, D4, D5, D6";"Diodes - General Purpose, Power, Switching Hi Conductance Fast";"";"";"Diodes - General Purpose, Power, Switching Hi Conductance Fast";"mm";"";"onsemi";"1N4148-T50R";"512-1N4148T50R";"https://www.mouser.co.uk/ProductDetail/onsemi-Fairchild/1N4148-T50R?qs=0lQeLiL1qyZS6rosZp7Ehg%3D%3D";"";
