x,Ec=0V,Ec=-2V,Ec=-4V,Ec=-6V,Ec=-8V,Ec=-10V,Ec=-12V,Ec=-14V,Ec=-16V,Ec=-18V,Ec=-20V
0.188,-0.019,,,,,,,,,,
1,0.04,,,,,,,,,,
2,0.118,,,,,,,,,,
3,0.208,,,,,,,,,,
4,0.317,,,,,,,,,,
5,0.453,,,,,,,,,,
6,0.616,,,,,,,,,,
7,0.795,,,,,,,,,,
8,0.978,,,,,,,,,,
9,1.158,,,,,,,,,,
10,1.333,,,,,,,,,,
11,1.506,,,,,,,,,,
12,1.677,,,,,,,,,,
13,1.851,,,,,,,,,,
14,2.03,,,,,,,,,,
15,2.217,,,,,,,,,,
16,2.409,,,,,,,,,,
17,2.595,,,,,,,,,,
18,2.785,,,,,,,,,,
19,3.002,,,,,,,,,,
20,3.266,,,,,,,,,,
21,3.588,,,,,,,,,,
22,3.935,,,,,,,,,,
23,4.262,,,,,,,,,,
24,4.545,,,,,,,,,,
25,4.789,,,,,,,,,,
26,5.02,,,,,,,,,,
27,5.259,,,,,,,,,,
28,5.53,,,,,,,,,,
29,5.868,,,,,,,,,,
30,6.281,,,,,,,,,,
31,6.732,,,,,,,,,,
32,7.145,,,,,,,,,,
33,7.49,,,,,,,,,,
34,7.797,,,,,,,,,,
35,8.09,,,,,,,,,,
36,8.378,,,,,,,,,,
37,8.667,,,,,,,,,,
38,8.961,0.042,,,,,,,,,
39,9.263,0.094,,,,,,,,,
40,9.578,0.148,,,,,,,,,
41,9.914,0.208,,,,,,,,,
42,10.284,0.276,,,,,,,,,
43,10.692,0.357,,,,,,,,,
44,11.125,0.454,,,,,,,,,
45,11.541,0.557,,,,,,,,,
46,11.919,0.65,,,,,,,,,
47,12.283,0.723,,,,,,,,,
48,12.66,0.783,,,,,,,,,
49,13.087,0.837,,,,,,,,,
50,13.57,0.901,,,,,,,,,
51,14.076,0.987,,,,,,,,,
52,14.568,1.081,,,,,,,,,
53,15.031,1.178,,,,,,,,,
54,15.457,1.277,,,,,,,,,
55,15.84,1.38,,,,,,,,,
56,16.183,1.49,,,,,,,,,
57,16.514,1.636,,,,,,,,,
58,16.897,1.867,,,,,,,,,
59,17.534,2.077,,,,,,,,,
60,18.123,2.279,,,,,,,,,
61,18.608,2.478,,,,,,,,,
62,19.044,2.68,,,,,,,,,
63,19.446,2.892,,,,,,,,,
64,19.828,3.113,,,,,,,,,
65,20.206,3.342,,,,,,,,,
66,20.598,3.578,,,,,,,,,
67,21.038,3.823,,,,,,,,,
68,21.588,4.081,,,,,,,,,
69,22.129,4.352,,,,,,,,,
70,22.574,4.633,,,,,,,,,
71,22.993,4.922,,,,,,,,,
72,23.429,5.215,,,,,,,,,
73,23.97,5.516,,,,,,,,,
74,24.902,5.832,,,,,,,,,
75,25.282,6.225,0.079,,,,,,,,
76,25.588,6.65,0.109,,,,,,,,
77,25.956,7.02,0.139,,,,,,,,
78,26.575,7.368,0.17,,,,,,,,
79,27.306,7.694,0.2,,,,,,,,
80,27.935,7.987,0.23,,,,,,,,
81,28.487,8.253,0.263,,,,,,,,
82,28.955,8.525,0.308,,,,,,,,
83,29.343,8.82,0.374,,,,,,,,
84,29.696,9.141,0.461,,,,,,,,
85,30.096,9.49,0.559,,,,,,,,
86,30.657,9.869,0.66,,,,,,,,
87,31.337,10.284,0.759,,,,,,,,
88,31.953,10.764,0.851,,,,,,,,
89,32.456,11.292,0.937,,,,,,,,
90,32.885,11.711,1.019,,,,,,,,
91,33.304,12.033,1.1,,,,,,,,
92,33.771,12.322,1.181,,,,,,,,
93,34.382,12.607,1.264,,,,,,,,
94,35.018,12.913,1.355,,,,,,,,
95,35.517,13.271,1.455,,,,,,,,
96,35.968,13.727,1.568,,,,,,,,
97,36.441,14.296,1.693,,,,,,,,
98,37.035,14.722,1.828,,,,,,,,
99,37.699,15.068,1.971,,,,,,,,
100,38.257,15.397,2.118,0.004,,,,,,,
101,38.771,15.734,2.267,0.016,,,,,,,
102,39.283,16.123,2.416,0.028,,,,,,,
103,39.812,16.659,2.564,0.04,,,,,,,
104,40.353,17.22,2.711,0.051,,,,,,,
105,40.902,17.64,2.862,0.063,,,,,,,
106,41.459,18.064,3.019,0.075,,,,,,,
107,42.042,18.577,3.184,0.087,,,,,,,
