Vp,Vg,Ia
1.0,0.0,1.032
2.0,0.0,1.913
3.0,0.0,2.651
4.0,0.0,3.343
5.0,0.0,4.107
6.0,0.0,5.08
7.0,0.0,6.022
8.0,0.0,6.773
9.0,0.0,7.462
10.0,0.0,8.173
11.0,0.0,8.981
12.0,0.0,9.814
13.0,0.0,10.553
14.0,0.0,11.252
15.0,0.0,11.993
16.0,0.0,12.844
17.0,0.0,13.719
18.0,0.0,14.497
19.0,0.0,15.212
20.0,0.0,15.941
21.0,0.0,16.769
22.0,0.0,17.716
23.0,0.0,18.726
24.0,0.0,19.761
25.0,0.0,20.812
26.0,0.0,21.824
27.0,0.0,22.751
28.0,0.0,23.679
29.0,0.0,24.754
30.0,0.0,25.953
31.0,0.0,27.054
32.0,0.0,28.029
33.0,0.0,28.918
34.0,0.0,29.836
35.0,0.0,30.939
36.0,0.0,32.117
37.0,0.0,33.144
38.0,0.0,34.106
39.0,0.0,35.081
40.0,0.0,36.109
41.0,0.0,37.223
42.0,0.0,38.32
43.0,0.0,39.358
44.0,0.0,40.446
45.0,0.0,41.618
46.0,0.0,42.662
47.0,0.0,43.579
48.0,0.0,44.46
49.0,0.0,45.39
50.0,0.0,46.576
51.0,0.0,47.96
52.0,0.0,48.904
53.0,0.0,49.746
54.0,0.0,50.746
55.0,0.0,51.957
56.0,0.0,53.042
57.0,0.0,54.02
58.0,0.0,54.997
59.0,0.0,56.052
60.0,0.0,57.269
61.0,0.0,58.445
62.0,0.0,59.465
63.0,0.0,60.419
64.0,0.0,61.353
65.0,0.0,62.29
66.0,0.0,63.256
67.0,0.0,64.305
68.0,0.0,65.457
69.0,0.0,66.576
70.0,0.0,67.613
71.0,0.0,68.621
72.0,0.0,69.629
73.0,0.0,70.647
74.0,0.0,71.687
75.0,0.0,72.765
76.0,0.0,73.824
77.0,0.0,74.786
78.0,0.0,75.713
79.0,0.0,76.71
80.0,0.0,77.802
81.0,0.0,78.951
0.0,-1.0,0.044
1.0,-1.0,0.144
2.0,-1.0,0.252
3.0,-1.0,0.375
4.0,-1.0,0.521
5.0,-1.0,0.695
6.0,-1.0,0.902
7.0,-1.0,1.133
8.0,-1.0,1.382
9.0,-1.0,1.637
10.0,-1.0,1.891
11.0,-1.0,2.137
12.0,-1.0,2.382
13.0,-1.0,2.639
14.0,-1.0,2.92
15.0,-1.0,3.236
16.0,-1.0,3.589
17.0,-1.0,3.976
18.0,-1.0,4.393
19.0,-1.0,4.838
20.0,-1.0,5.306
21.0,-1.0,5.795
22.0,-1.0,6.306
23.0,-1.0,6.838
24.0,-1.0,7.395
25.0,-1.0,7.988
26.0,-1.0,8.639
27.0,-1.0,9.385
28.0,-1.0,10.248
29.0,-1.0,11.173
30.0,-1.0,12.067
31.0,-1.0,12.889
32.0,-1.0,13.661
33.0,-1.0,14.402
34.0,-1.0,15.149
35.0,-1.0,15.969
36.0,-1.0,16.944
37.0,-1.0,17.948
38.0,-1.0,18.821
39.0,-1.0,19.643
40.0,-1.0,20.522
41.0,-1.0,21.492
42.0,-1.0,22.489
43.0,-1.0,23.45
44.0,-1.0,24.347
45.0,-1.0,25.212
46.0,-1.0,26.141
47.0,-1.0,27.192
48.0,-1.0,28.196
49.0,-1.0,29.068
50.0,-1.0,29.963
51.0,-1.0,31.003
52.0,-1.0,32.081
53.0,-1.0,33.086
54.0,-1.0,34.125
55.0,-1.0,35.286
56.0,-1.0,36.413
57.0,-1.0,37.407
58.0,-1.0,38.334
59.0,-1.0,39.263
60.0,-1.0,40.283
61.0,-1.0,41.425
62.0,-1.0,42.467
63.0,-1.0,43.406
64.0,-1.0,44.452
65.0,-1.0,45.639
66.0,-1.0,46.596
67.0,-1.0,47.426
68.0,-1.0,48.313
69.0,-1.0,49.349
70.0,-1.0,50.386
71.0,-1.0,51.345
72.0,-1.0,52.345
73.0,-1.0,53.465
74.0,-1.0,54.564
75.0,-1.0,55.562
76.0,-1.0,56.486
77.0,-1.0,57.406
78.0,-1.0,58.47
79.0,-1.0,59.725
80.0,-1.0,60.788
81.0,-1.0,61.745
82.0,-1.0,62.768
83.0,-1.0,63.897
84.0,-1.0,65.046
85.0,-1.0,66.104
86.0,-1.0,67.058
87.0,-1.0,68.029
88.0,-1.0,69.186
89.0,-1.0,70.38
90.0,-1.0,71.437
91.0,-1.0,72.421
92.0,-1.0,73.371
93.0,-1.0,74.337
94.0,-1.0,75.364
95.0,-1.0,76.474
96.0,-1.0,77.63
97.0,-1.0,78.737
98.0,-1.0,79.78
15.0,-2.0,0.238
16.0,-2.0,0.42
17.0,-2.0,0.602
18.0,-2.0,0.783
19.0,-2.0,0.963
20.0,-2.0,1.142
21.0,-2.0,1.32
22.0,-2.0,1.499
23.0,-2.0,1.681
24.0,-2.0,1.868
25.0,-2.0,2.062
26.0,-2.0,2.264
27.0,-2.0,2.474
28.0,-2.0,2.692
29.0,-2.0,2.922
30.0,-2.0,3.169
31.0,-2.0,3.442
32.0,-2.0,3.753
33.0,-2.0,4.109
34.0,-2.0,4.511
35.0,-2.0,4.96
36.0,-2.0,5.442
37.0,-2.0,5.932
38.0,-2.0,6.42
39.0,-2.0,6.948
40.0,-2.0,7.565
41.0,-2.0,8.281
42.0,-2.0,9.052
43.0,-2.0,9.841
44.0,-2.0,10.612
45.0,-2.0,11.354
46.0,-2.0,12.076
47.0,-2.0,12.798
48.0,-2.0,13.548
49.0,-2.0,14.377
50.0,-2.0,15.309
51.0,-2.0,16.198
52.0,-2.0,16.996
53.0,-2.0,17.809
54.0,-2.0,18.763
55.0,-2.0,19.845
56.0,-2.0,20.856
57.0,-2.0,21.791
58.0,-2.0,22.698
59.0,-2.0,23.617
60.0,-2.0,24.593
61.0,-2.0,25.613
62.0,-2.0,26.603
63.0,-2.0,27.556
64.0,-2.0,28.524
65.0,-2.0,29.486
66.0,-2.0,30.376
67.0,-2.0,31.196
68.0,-2.0,32.01
69.0,-2.0,32.885
70.0,-2.0,33.864
71.0,-2.0,34.983
72.0,-2.0,36.124
73.0,-2.0,37.155
74.0,-2.0,38.157
75.0,-2.0,39.2
76.0,-2.0,40.234
77.0,-2.0,41.221
78.0,-2.0,42.175
79.0,-2.0,43.121
80.0,-2.0,44.121
81.0,-2.0,45.222
82.0,-2.0,46.316
83.0,-2.0,47.328
84.0,-2.0,48.278
85.0,-2.0,49.211
86.0,-2.0,50.231
87.0,-2.0,51.305
88.0,-2.0,52.318
89.0,-2.0,53.253
90.0,-2.0,54.218
91.0,-2.0,55.295
92.0,-2.0,56.413
93.0,-2.0,57.489
94.0,-2.0,58.496
95.0,-2.0,59.484
96.0,-2.0,60.58
97.0,-2.0,61.751
98.0,-2.0,62.795
99.0,-2.0,63.786
100.0,-2.0,64.866
101.0,-2.0,65.971
102.0,-2.0,66.96
103.0,-2.0,67.893
104.0,-2.0,68.841
105.0,-2.0,69.832
106.0,-2.0,70.877
107.0,-2.0,71.949
108.0,-2.0,73.0
109.0,-2.0,74.021
110.0,-2.0,75.013
111.0,-2.0,76.006
112.0,-2.0,77.022
113.0,-2.0,78.021
114.0,-2.0,78.963
115.0,-2.0,79.865
26.0,-3.0,0.18
27.0,-3.0,0.278
28.0,-3.0,0.377
29.0,-3.0,0.477
30.0,-3.0,0.579
31.0,-3.0,0.683
32.0,-3.0,0.792
33.0,-3.0,0.91
34.0,-3.0,1.041
35.0,-3.0,1.185
36.0,-3.0,1.343
37.0,-3.0,1.512
38.0,-3.0,1.687
39.0,-3.0,1.868
40.0,-3.0,2.05
41.0,-3.0,2.235
42.0,-3.0,2.427
43.0,-3.0,2.637
44.0,-3.0,2.873
45.0,-3.0,3.144
46.0,-3.0,3.458
47.0,-3.0,3.813
48.0,-3.0,4.204
49.0,-3.0,4.629
50.0,-3.0,5.083
51.0,-3.0,5.564
52.0,-3.0,6.068
53.0,-3.0,6.592
54.0,-3.0,7.133
55.0,-3.0,7.69
56.0,-3.0,8.262
57.0,-3.0,8.854
